ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
2200,2200000000,18,,668776,0.0,,-84.553,,,10,,1,,,14,,,,,,,,,,,,,,
2200,2200000000,18,,668776,0.0,,-84.553,,,12,,1,,,25,,,,,,,,,,,,,,
2200,2200000000,18,,668776,0.0,,-84.553,,,14,,1,,,13,,,,,,,,,,,,,,
2200,2200000000,18,,668776,0.0,,-84.553,,,20,,1,,,12,,,,,,,,,,,,,,
2300,2300000000,18,,668754,0.0,,-84.583,,,10,,1,,,14,,,,,,,,,,,,,,
2300,2300000000,18,,668754,0.0,,-84.583,,,12,,1,,,25,,,,,,,,,,,,,,
2300,2300000000,18,,668754,0.0,,-84.583,,,14,,1,,,13,,,,,,,,,,,,,,
2300,2300000000,18,,668754,0.0,,-84.583,,,20,,1,,,12,,,,,,,,,,,,,,
2400,2400000000,18,,668732,0.0,,-84.615,,,10,,1,,,14,,,,,,,,,,,,,,
2400,2400000000,18,,668732,0.0,,-84.615,,,12,,1,,,25,,,,,,,,,,,,,,
2400,2400000000,18,,668732,0.0,,-84.615,,,14,,1,,,13,,,,,,,,,,,,,,
2400,2400000000,18,,668732,0.0,,-84.615,,,20,,1,,,11,,,,,,,,,,,,,,
2500,2500000000,18,,668711,0.0,,-84.641,,,10,,1,,,14,,,,,,,,,,,,,,
2500,2500000000,18,,668711,0.0,,-84.641,,,12,,1,,,25,,,,,,,,,,,,,,
2500,2500000000,18,,668711,0.0,,-84.641,,,14,,1,,,13,,,,,,,,,,,,,,
2500,2500000000,18,,668711,0.0,,-84.641,,,20,,1,,,11,,,,,,,,,,,,,,
